A52.008+I79.0* A52.003+I79.0*
A52.009+I79.1* A52.002+I79.1*
A52.010+I32.0* A52.008+I32.0*
A52.011+I39.0* A52.000x011+I39.0*
A52.012+I68.1* A52.001+I68.1*
A52.101 A52.101
A52.102+H58.0* A52.100x021+H58.0*
A52.103+M14.6* A52.103+M14.6*
A52.104+F02.8* A52.104+F02.8*
A52.105+G22* A52.100x005+G22*
A52.106+G59.8* A52.100x006+G59.8*
A52.107+G05.0* A52.100x007+G05.0*
A52.108+G63.0* A52.100x008+G63.0*
A52.109+G01* A52.100x009+G01*
A52.110+G05.0* A52.100x010+G05.0*
A52.111 A52.100x011
A52.112+H48.1* A52.100x012+H48.1*
A52.301 A52.300
A52.701 A52.700x001
A52.703+J99.8* A52.700x003+J99.8*
A52.704+J99.8* A52.700x004+J99.8*
A52.705+J99.8* A52.704+J99.8*
A52.706+M90.2* A52.700x006+M90.2*
A52.707+K77.0* A52.700x007+K77.0*
A52.708+M68.0* A52.700x008+M68.0*
A52.709+M68.0* A52.700x009+M68.0*
A52.710+M63.0* A52.700x010+M63.0*
A52.711+K67.2* A52.700x011+K67.2*
A52.712+N08.0* A52.700x012+N08.0*
A52.713+M01.8* A52.700x023+M01.8*
A52.714+H32.0* A52.700x014
A52.801 A52.800
A52.901 A52.900
A53.001 A53.000x001
A53.002 A53.000x002
A53.901 A53.900
A54.001 A54.004
A54.002 A54.002
A54.003 A54.001
A54.004 A54.003
A54.101 A54.102
A54.102 A54.100x002
A54.202+N74.3* A54.201+N74.3*
A54.203+N51.0* A54.202+N51.0*
A54.204+N74.3* A54.200x004+N74.3*
A54.205+N51.1* A54.203+N51.1*
A54.206+N51.1* A54.204+N51.1*
A54.301+H13.1* A54.302+H13.1*
A54.302+H19.2* A54.300x002+H19.2*
A54.303+H22.0* A54.303+H22.0*
A54.401+M01.3* A54.401+M01.3*
A54.501 A54.500
A54.601 A54.600x001
A54.801+J17.0* A54.806+J17.0*
A54.802+K67.1* A54.807+K67.1*
A54.803+G01* A54.803+G01*
A54.804+G07* A54.801+G07*
A54.805+I32.0* A54.805+I32.0*
A54.806+I41.0* A54.804+I41.0*
A54.807+I39.8* A54.802+I39.8*
A54.901 A54.900x001
A54.902 A54.900x002
A55xx01 A55.x00x001
A56.001 A56.003
A56.002 A56.002
A56.003 A56.000x003
A56.004 A56.001
A56.101+N51.1* A56.103+N51.1*
A56.102+N51.1* A56.102+N51.1*
A56.103+N74.4* A56.100x003+N74.4*
A56.104+N74.4* A56.100x004+N74.4*
A56.105+N74.4* A56.101+N74.4*
A56.301 A56.300x001
A57xx01 A57.x00
A57xx02 A57.x00x002
A57xx03 A57.x00x003
A58xx01 A58.x00
A58xx02 A58.x01
A59.001+N37.0* A59.001+N37.0*
A59.002+N77.1* A59.002+N77.1*
A59.003+N51.0* A59.000x003+N51.0*
A59.004 A59.000x004
A59.005 A59.000x005
A59.801 A59.800x001
A59.901 A59.900x001
A59.902 A59.900x002
A60.001+N51.8* A60.003+N51.8*
A60.002 A60.001
A60.003+N77.1* A60.000x003+N77.1*
